Place,Code,Distance,Population
"Alberta, CA",AB,2597,4.15E+06
"Alaska, US",AK,4338,739795
"Alabama, US",AL,1054,4.88E+06
"Arkansas, US",AR,1211,3.00E+06
"Arizona, US",AZ,2333,7.02E+06
"British Columbia, CA",BC,3100,4.63E+06
"California, US",CA,2901,3.95E+07
"Colorado, US",CO,1849,5.61E+06
"Connecticut, US",CT,97,3.59E+06
"District of Columbia, US",DC,225,6.94E+05
"Delaware, US",DE,188,9.62E+05
"Florida, US",FL,1143,2.10E+07
Faroe Islands,FO,4537,4.91E+04
"Georgia, US",GA,916,1.04E+07
Guinea,GV,4500,1.24E+07
"Hawaii, US",HI,4400,1.43E+06
"Iowa, US",IA,1098,3.15E+06
"Idaho, US",ID,2483,1.72E+06
"Illinois, US",IL,913,1.28E+07
"Indiana, US",IN,738,6.67E+06
"Kansas, US",KS,1425,2.91E+06
"Kentucky, US",KY,700,4.45E+06
"Louisiana, US",LA,1380,4.68E+06
"Massachusetts, US",MA,203,6.86E+06
"Manitoba, CA",MB,2135,1.28E+06
"Maryland, US",MD,206,6.05E+06
"Maine, US",ME,448,1.34E+06
"Michigan, US",MI,822,9.96E+06
"Minnesota, US",MN,1362,5.58E+06
"Missouri, US",MO,1062,6.11E+06
"Mississippi, US",MS,1149,2.98E+06
"Montana, US",MT,2117,1.05E+06
Mexico,MX,2380,1.28E+08
"New Brunswick, CA",NB,686,7.54E+05
"North Carolina, US",NC,508,1.03E+07
"North Dakota, US",ND,1671,7.55E+05
"Nebraska, US",NE,1492,1.92E+06
"New Hampshire, US",NH,266,1.34E+06
"New Jersey, US",NJ,71,9.01E+06
"New Mexico, US",NM,1974,2.09E+06
"Nova Scotia, CA",NS,866,9.43E+05
"Northwest Territories, CA",NT,3666,4.15E+04
"Nevada, US",NV,2574,3.00E+06
"New York, US",NY,0,8.54E+06
"Ohio, US",OH,542,1.17E+07
"Oklahoma, US",OK,1477,3.93E+06
"Ontario, CA",ON,1200,1.29E+07
"Oregon, US",OR,2746,4.14E+06
"Pennsylvania, US",PA,208,1.28E+07
"Prince Edward Island, CA",PE,800,1.46E+05
Puerto Rico,PR,2000,3.34E+06
"Quebec, CA",QB,520,8.22E+06
"Rhode Island, US",RI,166,1.06E+06
"South Carolina, US",SC,718,5.02E+06
"South Dakota, US",SD,1535,8.70E+05
"Saskatchewan, CA",SK,2180,1.13E+06
"Tennessee, US",TN,920,6.72E+06
"Texas, US",TX,1769,2.83E+07
"Utah, US",UT,2214,3.10E+62
"Virginia, US",VA,405,8.47E+06
"Vermont, US",VT,340,6.24E+05
"Washington, US",WA,225,7.41E+06
"Wisconsin, US",WI,968,5.80E+06
"West Virginia, US",WV,484,1.82E+06
"Wyoming, US",WY,1976,5.79E+05
